LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
29.20651,76.33741,2020,3,11,4.66,0.00934,73.85,98.3,12.31,17.31,12.74,15.07,24.2,11.9,17.39
29.20651,76.33741,2020,3,12,0.05,0.008577,61.17,98.49,13.08,18.78,11.51,15.29,26.19,13.11,19.07
29.20651,76.33741,2020,3,13,0,0.006076,45.96,98.73,13.59,17.8,6.35,12.27,26.08,12.49,18.19
29.20651,76.33741,2020,3,14,0.2,0.007367,62.91,98.9,13.26,16.74,9.29,12.79,23.61,10.34,16.29
29.20651,76.33741,2020,3,15,0.03,0.008086,68.63,99.08,12.97,17.03,10.7,13.56,23.05,10.08,16.41
29.20651,76.33741,2020,3,16,0,0.008286,61.62,99.03,15.21,17.96,11.07,14.78,26.16,10.96,18.49
29.20651,76.33741,2020,3,17,0,0.007739,52.06,99.04,15.99,18.85,10.01,15.06,27.86,11.86,20.11
29.20651,76.33741,2020,3,18,0,0.008142,49.8,98.88,14.79,20.06,10.73,16.18,28.8,14.01,21.63
29.20651,76.33741,2020,3,19,0,0.009181,53.17,98.56,12.54,21.66,12.52,17.49,29.7,17.16,22.46
29.20651,76.33741,2020,3,20,0,0.009761,56.23,98.43,14.95,22.74,13.46,17.99,30.6,15.65,22.52
29.20651,76.33741,2020,3,21,0.01,0.009619,54.73,98.48,14.28,23.18,13.23,17.98,30.77,16.49,22.74
29.20651,76.33741,2020,3,22,0,0.009481,54.75,98.68,14.67,22.77,13.04,17.78,30.62,15.96,22.53
29.20651,76.33741,2020,3,23,0.01,0.009669,54.69,98.63,12.15,22.88,13.34,18.1,28.58,16.43,22.86
29.20651,76.33741,2020,3,24,0.79,0.010799,61.6,98.47,13.43,22.91,15.04,18.86,30.32,16.89,22.68
29.20651,76.33741,2020,3,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
