LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
14.74581,76.15401,2020,3,11,0.11,0.012765,48.83,94.16,14.26,31.8,16.89,22.77,35.98,21.72,28.65
14.74581,76.15401,2020,3,12,0.25,0.012609,48,94.26,14.19,32.13,16.71,22.73,35.97,21.78,28.75
14.74581,76.15401,2020,3,13,0,0.010415,38.18,94.26,15.77,32.79,13.66,21.54,37.35,21.58,29.43
14.74581,76.15401,2020,3,14,0,0.009428,34.87,94.16,16.74,32.23,12.1,20.69,37.76,21.02,29.27
14.74581,76.15401,2020,3,15,0,0.009558,34.34,94.14,16.52,32.47,12.31,21.04,37.88,21.36,29.77
14.74581,76.15401,2020,3,16,0,0.009313,32.98,94.25,16.13,32.8,11.93,20.98,37.97,21.85,30.04
14.74581,76.15401,2020,3,17,0,0.008818,31.31,94.34,15.6,32.13,11.12,20.57,38.14,22.53,30.02
14.74581,76.15401,2020,3,18,0,0.008952,32.23,94.33,16.91,32.37,11.35,20.56,38.17,21.26,29.78
14.74581,76.15401,2020,3,19,0.01,0.009943,33.48,94.21,15.7,33.99,12.92,21.92,38.54,22.85,30.91
14.74581,76.15401,2020,3,20,0,0.008682,30.15,94.21,13.89,32.62,10.87,20.63,37.69,23.8,30.38
14.74581,76.15401,2020,3,21,0,0.0068,25.81,94.22,17.97,31.17,7.27,18.06,37.58,19.61,28.86
14.74581,76.15401,2020,3,22,0,0.00777,29.39,94.2,18.45,31.83,9.21,19.06,37.75,19.3,28.91
14.74581,76.15401,2020,3,23,0,0.01018,35.89,94.14,17.41,33.48,13.28,21.68,38.37,20.96,30.09
14.74581,76.15401,2020,3,24,0,0.010025,32.92,94,14.3,33.94,13.02,22.16,38.3,24,31.31
14.74581,76.15401,2020,3,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
