LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
10.00361,76.50781,2020,3,11,1.3,0.015604,69.89,95.38,11.3,26.87,20.34,23.24,32.56,21.26,26.14
10.00361,76.50781,2020,3,12,1.35,0.015748,68.56,95.43,10.34,26.94,20.5,23.57,32.52,22.18,26.63
10.00361,76.50781,2020,3,13,0.29,0.013484,62.04,95.45,11.95,25.84,18.03,21.88,32.01,20.06,25.72
10.00361,76.50781,2020,3,14,0.02,0.013457,61.69,95.35,13.08,26.01,17.98,21.87,32.58,19.5,25.76
10.00361,76.50781,2020,3,15,0.28,0.015146,67.2,95.32,11.93,26.62,19.86,23.08,32.75,20.82,26.3
10.00361,76.50781,2020,3,16,0.43,0.014902,66.33,95.41,12.72,26.87,19.62,22.94,32.95,20.23,26.26
10.00361,76.50781,2020,3,17,0.03,0.01408,63.68,95.5,13.07,26.68,18.73,22.37,32.92,19.85,26.01
10.00361,76.50781,2020,3,18,0.1,0.013787,60.96,95.49,14.57,27,18.39,22.4,33.61,19.04,26.4
10.00361,76.50781,2020,3,19,0.48,0.015167,62.75,95.46,11.72,28.01,19.92,23.71,34.01,22.29,27.51
10.00361,76.50781,2020,3,20,2.09,0.016461,70.25,95.46,10.47,27.7,21.21,24.09,33.1,22.63,26.97
10.00361,76.50781,2020,3,21,5.45,0.016341,69.66,95.41,10.07,27.7,21.09,24.04,32.97,22.9,26.98
10.00361,76.50781,2020,3,22,1.63,0.015892,68.5,95.42,11,27.69,20.65,23.72,33.13,22.13,26.8
10.00361,76.50781,2020,3,23,2.43,0.016526,70.67,95.35,10.12,27.46,21.26,24.09,33.1,22.98,26.92
10.00361,76.50781,2020,3,24,2.09,0.016269,69.49,95.22,10.37,27.48,20.99,23.95,32.52,22.15,26.91
10.00361,76.50781,2020,3,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
